ID,Day0_27,PCoA1,PCoA2
O03,D9,0.09 ,0.13 
O03,D10,0.03 ,0.10 
O03,D11,0.11 ,0.13 
O03,D12,0.00 ,-0.02 
O03,D13,0.14 ,0.12 
O03,D14,-0.03 ,0.03 
O03,D15,-0.01 ,-0.07 
O03,D16,-0.04 ,-0.09 
O03,D17,-0.01 ,-0.07 
O03,D18,-0.05 ,-0.10 
O03,D19,-0.05 ,-0.11 
O03,D20,-0.06 ,-0.15 
O03,D21,-0.09 ,-0.12 
O03,D22,-0.05 ,-0.11 
O03,D23,-0.07 ,-0.15 
O03,D24,-0.12 ,-0.13 
O03,D25,-0.17 ,-0.16 
O03,D26,-0.13 ,-0.16 
O03,D27,-0.16 ,-0.16 
O03,D56,0.00 ,-0.02 
O04,D0,0.16 ,-0.09 
O04,D4,-0.03 ,0.02 
O04,D10,-0.24 ,0.08 
O04,D11,0.13 ,-0.07 
O04,D13,0.19 ,-0.11 
O04,D16,0.09 ,-0.05 
O04,D17,-0.08 ,0.01 
O04,D27,0.02 ,-0.03 
O04,D56,-0.20 ,0.09 
O05,D0,0.01 ,-0.01 
O05,D2,0.03 ,-0.01 
O05,D6,0.05 ,-0.03 
O05,D8,0.03 ,0.08 
O05,D14,-0.03 ,-0.03 
O05,D17,-0.01 ,-0.03 
O05,D20,-0.01 ,0.01 
O05,D22,-0.01 ,-0.05 
O05,D24,0.00 ,-0.05 
O05,D27,0.01 ,-0.06 
O05,D56,-0.02 ,0.02 
O06,D0,0.01 ,0.09 
O06,D1,0.10 ,0.09 
O06,D3,0.03 ,0.04 
O06,D4,0.05 ,0.11 
O06,D5,0.18 ,0.10 
O06,D6,0.11 ,0.13 
O06,D7,0.13 ,0.15 
O06,D8,0.02 ,0.01 
O06,D9,-0.04 ,-0.03 
O06,D11,-0.06 ,0.04 
O06,D12,0.06 ,-0.08 
O06,D15,-0.01 ,-0.07 
O06,D16,-0.11 ,-0.12 
O06,D17,-0.01 ,-0.10 
O06,D20,-0.07 ,-0.08 
O06,D22,-0.02 ,-0.09 
O06,D26,-0.13 ,-0.20 
O06,D27,-0.04 ,-0.05 
O06,D56,-0.16 ,-0.09 
O07,D0,-0.07 ,0.12 
O07,D1,-0.06 ,0.12 
O07,D2,-0.06 ,0.10 
O07,D3,-0.04 ,0.04 
O07,D4,0.03 ,-0.01 
O07,D5,-0.03 ,0.02 
O07,D7,-0.04 ,0.01 
O07,D8,-0.06 ,0.03 
O07,D9,-0.04 ,0.08 
O07,D11,-0.01 ,0.01 
O07,D12,-0.04 ,0.04 
O07,D13,-0.02 ,0.02 
O07,D14,-0.02 ,0.06 
O07,D15,0.08 ,-0.07 
O07,D17,-0.02 ,-0.01 
O07,D18,0.04 ,-0.05 
O07,D19,0.16 ,-0.20 
O07,D20,0.18 ,-0.17 
O07,D21,0.01 ,-0.03 
O07,D22,0.00 ,-0.05 
O07,D24,0.00 ,-0.05 
O07,D25,0.05 ,-0.06 
O07,D26,0.00 ,-0.03 
O07,D27,0.00 ,-0.07 
O07,D56,-0.01 ,0.01 
O08,D0,-0.01 ,-0.03 
O08,D1,0.01 ,-0.03 
O08,D2,-0.02 ,-0.01 
O08,D3,0.01 ,-0.04 
O08,D4,-0.02 ,0.01 
O08,D5,0.02 ,0.05 
O08,D7,0.01 ,0.08 
O08,D8,-0.02 ,0.00 
O08,D9,-0.05 ,0.00 
O08,D10,0.01 ,-0.04 
O08,D11,0.00 ,-0.03 
O08,D12,-0.01 ,-0.01 
O08,D15,-0.02 ,-0.01 
O08,D16,-0.04 ,-0.03 
O08,D17,-0.04 ,-0.03 
O08,D18,-0.04 ,-0.02 
O08,D19,-0.05 ,-0.02 
O08,D20,-0.04 ,-0.03 
O08,D21,-0.03 ,-0.03 
O08,D23,0.20 ,-0.01 
O08,D24,-0.02 ,-0.04 
O08,D25,0.01 ,-0.05 
O08,D26,0.18 ,0.19 
O08,D56,0.04 ,-0.03 
O09,D0,0.04 ,0.05 
O09,D1,0.04 ,0.04 
O09,D2,0.04 ,-0.06 
O09,D3,0.02 ,0.00 
O09,D4,0.04 ,0.00 
O09,D5,-0.07 ,-0.01 
O09,D6,-0.02 ,0.02 
O09,D7,0.01 ,0.01 
O09,D8,0.03 ,0.01 
O09,D9,0.01 ,-0.02 
O09,D10,0.02 ,-0.03 
O09,D11,-0.03 ,0.04 
O09,D12,-0.03 ,0.00 
O09,D13,-0.02 ,0.01 
O09,D14,0.01 ,0.02 
O09,D15,0.04 ,-0.05 
O09,D16,0.04 ,-0.06 
O09,D17,0.02 ,-0.02 
O09,D18,0.00 ,0.01 
O09,D19,-0.03 ,-0.01 
O09,D20,0.03 ,-0.01 
O09,D22,0.04 ,-0.05 
O09,D23,-0.20 ,-0.08 
O09,D56,0.01 ,0.03 
O10,D0,-0.08 ,0.00 
O10,D1,-0.05 ,-0.01 
O10,D2,-0.04 ,-0.07 
O10,D3,0.00 ,0.03 
O10,D5,-0.03 ,0.01 
O10,D6,-0.05 ,0.00 
O10,D7,0.14 ,0.15 
O10,D8,0.02 ,0.00 
O10,D10,0.03 ,0.01 
O10,D13,-0.05 ,-0.10 
O10,D14,-0.08 ,-0.15 
O10,D15,-0.05 ,-0.09 
O10,D17,-0.05 ,-0.05 
O10,D18,-0.08 ,-0.05 
O10,D20,0.11 ,0.14 
O10,D22,0.08 ,0.04 
O10,D23,0.03 ,-0.02 
O10,D24,0.07 ,-0.01 
O10,D25,0.06 ,-0.01 
O10,D26,0.09 ,0.08 
O10,D56,-0.02 ,-0.06 
T01,D0,0.05 ,0.21 
T01,D1,0.05 ,0.15 
T01,D2,0.04 ,0.14 
T01,D3,0.09 ,0.17 
T01,D4,0.02 ,0.12 
T01,D5,0.07 ,0.11 
T01,D6,-0.04 ,-0.14 
T01,D7,0.03 ,0.10 
T01,D8,-0.08 ,-0.17 
T01,D9,0.01 ,0.02 
T01,D10,0.08 ,0.07 
T01,D11,0.00 ,-0.05 
T01,D12,0.02 ,-0.03 
T01,D13,0.01 ,0.09 
T01,D14,-0.03 ,0.01 
T01,D15,-0.12 ,-0.11 
T01,D16,-0.04 ,-0.08 
T01,D17,-0.01 ,-0.08 
T01,D18,0.01 ,-0.01 
T01,D19,-0.01 ,-0.03 
T01,D20,-0.02 ,-0.10 
T01,D21,0.01 ,-0.06 
T01,D22,-0.05 ,-0.11 
T01,D23,-0.01 ,-0.10 
T01,D24,0.03 ,0.02 
T01,D25,0.01 ,-0.05 
T01,D26,-0.07 ,-0.16 
T01,D56,-0.01 ,-0.07 
T02,D0,0.26 ,0.04 
T02,D1,0.04 ,0.11 
T02,D2,-0.04 ,0.14 
T02,D4,0.27 ,0.01 
T02,D5,0.27 ,-0.01 
T02,D6,0.20 ,-0.10 
T02,D7,0.15 ,-0.15 
T02,D8,0.36 ,-0.04 
T02,D9,0.13 ,0.04 
T02,D10,0.23 ,0.08 
T02,D12,-0.13 ,0.08 
T02,D13,0.26 ,-0.11 
T02,D17,-0.22 ,0.01 
T02,D19,-0.22 ,0.05 
T02,D21,-0.21 ,-0.04 
T02,D22,-0.23 ,0.00 
T02,D23,-0.28 ,-0.02 
T02,D24,-0.28 ,-0.02 
T02,D25,-0.22 ,-0.03 
T02,D26,-0.27 ,-0.04 
T02,D27,-0.28 ,-0.01 
T02,D56,0.26 ,-0.13 
T03,D0,-0.11 ,-0.03 
T03,D2,0.07 ,0.00 
T03,D3,0.03 ,0.15 
T03,D4,-0.03 ,0.05 
T03,D6,-0.10 ,0.00 
T03,D7,-0.04 ,0.05 
T03,D8,0.09 ,-0.03 
T03,D9,0.18 ,-0.02 
T03,D10,0.05 ,0.02 
T03,D11,0.19 ,-0.02 
T03,D13,0.07 ,-0.03 
T03,D14,0.00 ,0.02 
T03,D15,0.13 ,-0.01 
T03,D16,-0.10 ,0.04 
T03,D17,0.03 ,-0.12 
T03,D18,-0.07 ,0.01 
T03,D19,0.04 ,-0.04 
T03,D21,-0.08 ,-0.01 
T03,D22,-0.07 ,-0.03 
T03,D23,-0.05 ,-0.07 
T03,D25,-0.08 ,-0.02 
T03,D27,-0.09 ,-0.01 
T03,D56,-0.03 ,-0.04 
T04,D0,0.03 ,0.02 
T04,D1,-0.02 ,0.05 
T04,D3,0.17 ,0.12 
T04,D5,-0.02 ,0.03 
T04,D6,-0.01 ,0.04 
T04,D7,-0.02 ,0.05 
T04,D8,-0.01 ,-0.02 
T04,D9,0.10 ,0.01 
T04,D10,0.04 ,0.08 
T04,D11,-0.03 ,0.04 
T04,D12,-0.03 ,0.00 
T04,D13,-0.04 ,0.04 
T04,D15,0.04 ,-0.05 
T04,D16,-0.02 ,-0.04 
T04,D17,0.05 ,-0.07 
T04,D19,-0.01 ,-0.03 
T04,D20,0.00 ,-0.06 
T04,D21,-0.01 ,-0.10 
T04,D22,-0.05 ,-0.05 
T04,D24,-0.02 ,0.02 
T04,D25,-0.03 ,-0.07 
T04,D26,-0.03 ,-0.08 
T04,D56,-0.04 ,-0.07 
T05,D0,0.07 ,0.04 
T05,D1,0.07 ,0.08 
T05,D2,0.09 ,0.11 
T05,D4,-0.02 ,0.00 
T05,D5,-0.02 ,0.03 
T05,D6,0.08 ,0.05 
T05,D7,-0.01 ,0.08 
T05,D8,-0.01 ,0.03 
T05,D9,0.02 ,0.01 
T05,D10,-0.05 ,0.03 
T05,D11,0.01 ,-0.01 
T05,D12,-0.05 ,0.01 
T05,D13,-0.05 ,0.03 
T05,D14,-0.05 ,-0.02 
T05,D15,-0.05 ,-0.02 
T05,D16,0.02 ,-0.09 
T05,D17,0.00 ,-0.01 
T05,D18,0.02 ,-0.08 
T05,D19,0.01 ,-0.04 
T05,D20,-0.02 ,-0.08 
T05,D21,-0.01 ,-0.06 
T05,D22,0.03 ,-0.05 
T05,D23,0.02 ,-0.07 
T05,D24,-0.03 ,-0.05 
T05,D25,0.01 ,-0.04 
T05,D26,-0.03 ,-0.03 
T05,D27,0.02 ,-0.07 
T05,D56,-0.03 ,0.09 
T06,D0,0.32 ,-0.02 
T06,D1,0.22 ,-0.10 
T06,D2,0.10 ,-0.03 
T06,D3,0.21 ,0.02 
T06,D4,0.28 ,-0.23 
T06,D5,0.28 ,-0.20 
T06,D6,-0.07 ,-0.03 
T06,D7,-0.16 ,0.02 
T06,D8,-0.18 ,0.06 
T06,D9,0.30 ,-0.10 
T06,D10,0.04 ,0.10 
T06,D11,0.18 ,0.08 
T06,D12,-0.02 ,0.11 
T06,D13,-0.05 ,0.10 
T06,D14,-0.01 ,0.10 
T06,D15,0.04 ,0.01 
T06,D16,-0.01 ,-0.06 
T06,D17,-0.21 ,0.12 
T06,D18,-0.23 ,0.07 
T06,D19,-0.23 ,0.05 
T06,D20,-0.07 ,-0.12 
T06,D21,-0.20 ,-0.03 
T06,D22,-0.18 ,0.02 
T06,D23,0.15 ,-0.13 
T06,D24,-0.15 ,0.07 
T06,D25,-0.13 ,0.05 
T06,D26,0.00 ,-0.01 
T06,D27,-0.14 ,-0.02 
T06,D56,-0.02 ,-0.01 
T07,D0,0.08 ,0.04 
T07,D1,-0.01 ,0.05 
T07,D2,0.01 ,0.06 
T07,D3,0.01 ,0.05 
T07,D4,0.02 ,0.03 
T07,D5,-0.02 ,0.00 
T07,D6,0.03 ,0.03 
T07,D7,0.01 ,0.06 
T07,D8,0.00 ,0.06 
T07,D9,0.00 ,0.03 
T07,D11,0.04 ,0.02 
T07,D12,-0.02 ,-0.03 
T07,D14,0.03 ,0.06 
T07,D15,-0.01 ,-0.05 
T07,D16,0.03 ,-0.03 
T07,D17,-0.05 ,0.02 
T07,D18,-0.02 ,0.02 
T07,D19,0.00 ,-0.04 
T07,D20,0.00 ,-0.08 
T07,D21,0.01 ,0.00 
T07,D22,0.00 ,-0.07 
T07,D23,-0.02 ,0.01 
T07,D24,0.01 ,-0.08 
T07,D25,-0.01 ,-0.07 
T07,D26,-0.01 ,-0.16 
T07,D27,-0.02 ,-0.16 
T07,D56,-0.04 ,0.05 
T08,D0,0.01 ,-0.03 
T08,D1,-0.01 ,-0.01 
T08,D3,-0.03 ,0.03 
T08,D4,-0.04 ,0.07 
T08,D5,0.01 ,-0.01 
T08,D7,-0.02 ,0.01 
T08,D8,-0.02 ,0.01 
T08,D10,-0.02 ,0.02 
T08,D12,-0.03 ,-0.01 
T08,D14,0.00 ,-0.05 
T08,D15,0.00 ,-0.03 
T08,D19,0.02 ,-0.09 
T08,D22,0.05 ,-0.08 
T08,D24,0.01 ,-0.06 
T08,D56,0.11 ,0.06 
T09,D1,0.04 ,-0.11 
T09,D4,0.17 ,-0.14 
T09,D6,-0.10 ,0.07 
T09,D7,-0.22 ,0.21 
T09,D8,0.05 ,-0.05 
T09,D11,0.09 ,-0.04 
T09,D13,0.04 ,0.04 
T09,D15,0.05 ,-0.12 
T09,D19,-0.08 ,0.08 
T09,D20,0.07 ,-0.07 
T09,D22,-0.12 ,0.05 
T09,D24,-0.02 ,-0.13 
T09,D27,-0.06 ,0.11 
T09,D56,0.15 ,-0.05 
