CAG,Nor_mean,dayD14,dayD15,dayD16,dayD17,dayD18,dayD19,dayD20,dayD21,dayD22,dayD23,dayD24,dayD25,dayD26,dayD27,Group
T_CAG14,0.00 ,-1.15 ,2.34 ,2.57 ,1.52 ,0.91 ,0.90 ,2.40 ,1.70 ,2.09 ,1.43 ,1.63 ,1.67 ,1.94 ,2.36 ,E
T_CAG24,0.00 ,0.77 ,1.94 ,3.29 ,2.70 ,2.36 ,0.81 ,2.50 ,2.16 ,2.38 ,2.42 ,3.16 ,3.16 ,3.40 ,2.67 ,E
T_CAG41,0.00 ,0.51 ,1.02 ,2.47 ,2.99 ,3.29 ,3.02 ,2.64 ,2.10 ,2.65 ,2.62 ,3.16 ,3.14 ,2.37 ,2.17 ,E
T_CAG52,0.00 ,1.35 ,1.92 ,1.89 ,2.78 ,2.63 ,1.99 ,1.43 ,3.27 ,2.38 ,1.16 ,2.23 ,3.31 ,4.09 ,2.40 ,E
T_CAG29,0.00 ,0.28 ,0.77 ,0.73 ,0.69 ,1.06 ,1.16 ,0.67 ,0.02 ,1.10 ,0.58 ,2.47 ,1.24 ,2.66 ,3.51 ,E
T_CAG30,0.00 ,1.12 ,2.66 ,1.39 ,0.86 ,1.16 ,2.56 ,2.69 ,1.28 ,1.73 ,1.77 ,2.97 ,2.60 ,3.32 ,3.41 ,E
T_CAG53,0.00 ,0.96 ,1.81 ,2.63 ,1.79 ,2.30 ,1.27 ,2.95 ,2.72 ,2.82 ,2.73 ,2.66 ,3.09 ,3.81 ,3.39 ,E
T_CAG28,0.00 ,0.78 ,3.09 ,2.23 ,1.48 ,1.53 ,1.30 ,2.10 ,0.70 ,1.50 ,1.69 ,1.62 ,2.83 ,3.64 ,3.06 ,E
T_CAG54,0.00 ,0.29 ,1.99 ,2.06 ,1.21 ,1.56 ,0.24 ,1.53 ,1.88 ,2.31 ,2.45 ,1.79 ,3.13 ,3.47 ,2.33 ,E
T_CAG71,0.00 ,0.46 ,0.69 ,1.54 ,1.01 ,1.41 ,1.43 ,2.35 ,2.59 ,1.77 ,2.22 ,1.93 ,3.07 ,3.75 ,2.30 ,E
T_CAG31,0.00 ,-0.73 ,0.57 ,0.38 ,0.85 ,0.61 ,1.14 ,1.96 ,0.55 ,1.44 ,0.81 ,1.88 ,1.99 ,3.01 ,2.54 ,E
T_CAG26,0.00 ,-0.27 ,0.88 ,1.80 ,1.60 ,0.71 ,1.91 ,1.69 ,0.94 ,0.74 ,1.65 ,1.51 ,2.25 ,2.44 ,3.74 ,E
T_CAG38,0.00 ,-1.03 ,0.22 ,1.53 ,1.12 ,1.62 ,1.06 ,1.64 ,1.45 ,1.54 ,0.75 ,1.77 ,1.69 ,2.42 ,3.13 ,E
T_CAG55,0.00 ,0.93 ,1.72 ,1.93 ,2.06 ,2.62 ,1.57 ,2.32 ,1.89 ,2.09 ,-0.08 ,3.08 ,2.21 ,3.13 ,3.17 ,E
T_CAG25,0.00 ,-0.04 ,2.08 ,1.90 ,2.74 ,2.47 ,1.35 ,1.94 ,1.37 ,1.60 ,0.73 ,2.05 ,2.00 ,3.35 ,3.17 ,E
T_CAG35,0.00 ,2.30 ,1.97 ,2.38 ,2.40 ,2.12 ,1.09 ,1.72 ,1.83 ,1.66 ,0.33 ,1.77 ,2.90 ,3.80 ,3.29 ,E
T_CAG62,0.00 ,1.01 ,2.16 ,1.52 ,1.35 ,3.29 ,1.25 ,0.19 ,-0.57 ,2.27 ,0.34 ,1.36 ,1.09 ,2.09 ,0.71 ,F
T_CAG10,0.00 ,1.08 ,3.24 ,3.19 ,2.45 ,1.12 ,0.49 ,1.94 ,1.92 ,0.78 ,0.18 ,0.99 ,1.48 ,0.76 ,0.80 ,F
T_CAG12,0.00 ,-0.71 ,1.43 ,1.42 ,1.61 ,0.66 ,0.11 ,2.92 ,2.85 ,0.86 ,1.09 ,2.10 ,1.57 ,0.70 ,0.80 ,F
T_CAG13,0.00 ,1.56 ,2.80 ,1.81 ,0.72 ,2.24 ,0.54 ,1.38 ,0.91 ,1.65 ,-0.97 ,1.59 ,2.22 ,2.33 ,0.60 ,F
T_CAG43,0.00 ,-0.49 ,2.02 ,2.80 ,1.92 ,0.74 ,0.10 ,2.03 ,1.45 ,0.85 ,-0.69 ,1.10 ,0.71 ,0.21 ,1.04 ,F
T_CAG9,0.00 ,1.59 ,3.27 ,1.95 ,1.93 ,0.73 ,0.00 ,1.17 ,1.56 ,0.20 ,-0.47 ,-0.21 ,1.16 ,0.82 ,0.86 ,F
T_CAG45,0.00 ,0.63 ,2.88 ,1.74 ,0.84 ,1.15 ,-0.89 ,1.38 ,0.22 ,0.57 ,-1.24 ,0.40 ,0.60 ,0.22 ,1.10 ,F
T_CAG78,0.00 ,2.93 ,1.69 ,2.18 ,0.70 ,-0.21 ,1.06 ,0.28 ,2.04 ,2.40 ,-0.42 ,1.51 ,0.60 ,1.25 ,1.42 ,F
T_CAG11,0.00 ,0.53 ,1.90 ,1.37 ,1.39 ,0.35 ,-0.51 ,1.21 ,1.24 ,1.19 ,-1.51 ,-0.39 ,-0.37 ,-0.85 ,1.04 ,G
T_CAG65,0.00 ,0.84 ,1.95 ,2.48 ,1.30 ,1.11 ,-0.52 ,1.46 ,0.06 ,-0.37 ,-0.55 ,-0.24 ,1.58 ,0.88 ,1.92 ,G
T_CAG64,0.00 ,1.14 ,2.12 ,2.21 ,1.51 ,1.08 ,-0.56 ,1.01 ,0.02 ,-1.08 ,-0.88 ,-0.08 ,0.89 ,0.65 ,0.50 ,G
T_CAG68,0.00 ,-1.83 ,0.10 ,1.31 ,1.51 ,1.66 ,0.91 ,0.70 ,0.34 ,1.58 ,1.94 ,2.22 ,0.52 ,1.01 ,1.37 ,G
T_CAG51,0.00 ,1.14 ,-0.23 ,-0.66 ,-2.17 ,-0.92 ,0.08 ,1.62 ,0.72 ,0.33 ,1.23 ,0.69 ,0.61 ,1.23 ,0.96 ,G
T_CAG76,0.00 ,-1.58 ,0.75 ,1.22 ,1.17 ,0.03 ,0.76 ,1.36 ,-0.48 ,-0.39 ,1.87 ,1.64 ,1.89 ,1.48 ,0.40 ,G
T_CAG36,0.00 ,1.17 ,1.68 ,-0.62 ,-0.32 ,-1.87 ,0.59 ,1.51 ,1.13 ,0.50 ,0.66 ,1.41 ,-0.24 ,1.54 ,1.21 ,G
T_CAG60,0.00 ,-0.78 ,1.64 ,1.97 ,1.75 ,0.61 ,1.34 ,2.65 ,1.19 ,-0.44 ,1.17 ,0.22 ,2.23 ,1.57 ,1.79 ,G
T_CAG33,0.00 ,-0.93 ,1.01 ,1.80 ,2.39 ,1.78 ,1.80 ,1.55 ,0.54 ,0.74 ,-0.30 ,-0.27 ,1.44 ,1.32 ,2.13 ,G
T_CAG67,0.00 ,-1.30 ,0.86 ,1.73 ,1.53 ,0.89 ,1.05 ,1.93 ,-0.99 ,0.05 ,1.05 ,2.20 ,1.11 ,1.29 ,1.10 ,G
T_CAG37,0.00 ,-1.31 ,0.84 ,-0.86 ,1.36 ,-0.51 ,0.49 ,1.26 ,1.26 ,0.68 ,0.27 ,1.24 ,0.98 ,2.55 ,1.40 ,G
T_CAG48,0.00 ,1.53 ,1.40 ,0.03 ,-0.25 ,0.24 ,0.00 ,0.15 ,-0.51 ,-0.45 ,-1.03 ,-0.14 ,-0.70 ,-2.64 ,-1.18 ,H
T_CAG44,0.00 ,1.31 ,1.41 ,1.53 ,0.40 ,0.04 ,-0.64 ,0.55 ,0.06 ,-0.44 ,-1.27 ,-0.76 ,-0.41 ,-1.48 ,-1.55 ,H
T_CAG57,0.00 ,-1.05 ,0.52 ,-0.27 ,0.17 ,1.07 ,1.10 ,0.26 ,2.42 ,1.24 ,1.30 ,1.27 ,0.47 ,-0.41 ,-1.41 ,H
T_CAG34,0.00 ,-0.60 ,0.09 ,1.27 ,1.52 ,-0.28 ,-1.23 ,1.09 ,1.28 ,-0.63 ,-1.61 ,-0.35 ,-0.57 ,-0.14 ,-1.43 ,H
